MGI:101764	""	""
MGI:3578159	12aex	12a exencephaly
MGI:3578162	31bex	31b exencephaly
MGI:3578212	38dlp	38dlp
MGI:3578169	7a6ex	7a6 exencephaly
MGI:3620954	917M	917M
MGI:3578150	97c2	97c2 exencephaly
MGI:87853	a	nonagouti
MGI:2152878	A1bg	alpha-1-B glycoprotein
MGI:1917115	A1cf	APOBEC1 complementation factor
MGI:2449119	A2m	alpha-2-macroglobulin
MGI:3609643	A430046D13Rik	Riken cDNA A430046D13 gene
MGI:2143261	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase
MGI:1353646	A730014G21Rik	RIKEN cDNA A730014G21 gene
MGI:1858439	AA914427	EST AA914427
MGI:2138143	AA986860	expressed sequence AA986860
MGI:2443767	Aaas	achalasia, adrenocortical insufficiency, alacrimia
MGI:1926144	Aacs	acetoacetyl-CoA synthetase
MGI:1915008	Aadac	arylacetamide deacetylase
MGI:3028051	Aadacl2fm1	AADACL2 family member
MGI:2685282	Aadacl4fm4	AADACL4 family member
MGI:1345167	Aadat	aminoadipate aminotransferase
MGI:1914189	Aagab	alpha- and gamma-adaptin binding protein
MGI:1098687	Aak1	AP2 associated kinase
MGI:1913523	Aamdc	adipogenesis associated Mth938 domain containing
MGI:107809	Aamp	angio-associated migratory protein
MGI:1328365	Aanat	arylalkylamine N-acetyltransferase
MGI:1915545	Aar2	AAR2 splicing factor homolog
MGI:2181621	Aard	alanine and arginine rich domain containing protein
MGI:1916934	Aarsd1	alanyl-tRNA synthetase domain containing
MGI:1353573	Aass	aminoadipate-semialdehyde synthase
MGI:1197518	Aatk	apoptosis-associated tyrosine kinase
MGI:1931024	AB041806	hypothetical protein, MNCb-2457
MGI:2443582	Abat	4-aminobutyrate aminotransferase
MGI:102676	Abcc1	ATP-binding cassette, sub-family C member
MGI:106388	Abhd17a	abhydrolase domain containing
MGI:104913	Abi1	abl interactor
MGI:1913860	Abi3	ABI family member
MGI:87859	Abl1	c-abl oncogene 1, non-receptor tyrosine kinase
MGI:87860	Abl2	ABL proto-oncogene 2, non-receptor tyrosine kinase
