SGD:S000007287	15S_RRNA	""
SGD:S000001386	AYR1	1-AcyldihYdroxyacetone-phosphate Reductase
SGD:S000028579	DGR1	2-Deoxy-Glucose Resistant
SGD:S000000230	ETR1	2-Enoyl Thioester Reductase
SGD:S000004540	HMG1	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase
SGD:S000000944	MAG1	3-MethylAdenine DNA Glycosylase
SGD:S000001538	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase
SGD:S000000605	PGK1	3-PhosphoGlycerate Kinase
SGD:S000001170	FUR1	5-FluoroURidine resistant
SGD:S000000138	FUI1	5-FlUorourIdine resistance
SGD:S000000225	FUR4	5-FlUoRouridine sensitivity
SGD:S000003830	HAM1	6-n-HydroxylAMinopurine sensitive
SGD:S000001369	PFK26	6-PhosphoFructo-2-Kinase
SGD:S000001226	GND1	6-phosphoGlucoNateDehydrogenase
SGD:S000004525	OGG1	8-OxoGuanine Glycosylase/lyase
SGD:S000000170	AAR2	A1-Alpha2 Repression
SGD:S000005327	AGA1	a-AGglutinin
SGD:S000004916	ATM1	ABC Transporter, Mitochondrial
SGD:S000003869	ABM1	Aberrant Microtubules
SGD:S000004722	ASC1	Absence of growth Suppressor of Cyp1
SGD:S000000603	ADY2	Accumulation of DYads
SGD:S000003456	AZR1	Acetic Acid and AZoles Resistance
SGD:S000000111	ACH1	Acetyl CoA Hydrolase
SGD:S000005299	ACC1	Acetyl-CoA Carboxylase
SGD:S000005904	ATF1	AcetylTransFerase
SGD:S000003986	AYT1	AcetYlTransferase
SGD:S000006230	ATH1	Acid TreHalase
SGD:S000005009	AQR1	Acids Quinidine Resistance
SGD:S000004611	ADI1	Acireductone DIoxygenase
SGD:S000004295	ACO1	ACOnitase
SGD:S000000684	ABP1	Actin Binding Protein
SGD:S000001558	AAN1	Actin, Aging and Nutrient modulator
SGD:S000001855	ACT1	ACTin
SGD:S000001171	ARP1	Actin-Related Protein
SGD:S000006384	AOS1	Activation Of Smt3p
SGD:S000004121	ACE2	Activator of CUP1 Expression
SGD:S000001675	ACP1	Acyl Carrier Protein
SGD:S000003269	ACB1	Acyl-CoA-Binding
SGD:S000000644	ARE1	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme
SGD:S000004108	TML25	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa
SGD:S000005701	ALE1	Acyltransferase for Lyso-phosphatidylEthanolamine
SGD:S000005549	AHC1	Ada Histone acetyltransferase complex Component
SGD:S000005085	AAH1	Adenine AminoHydrolase
SGD:S000000070	ADE1	ADEnine requiring
SGD:S000003866	ADO1	ADenOsine kinase
SGD:S000002634	ADK1	ADenylate Kinase
SGD:S000005438	AVO1	Adheres VOraciously (to TOR2)
SGD:S000004660	AAC1	ADP/ATP Carrier
SGD:S000002351	ARF1	ADP-Ribosylation Factor
SGD:S000002784	ARH1	Adrenodoxin Reductase Homolog
SGD:S000004030	AFB1	A-Factor Barrier
SGD:S000001032	ARN1	AFT1 ReguloN
SGD:S000002592	ATC1	Aip Three Complex
SGD:S000004079	ALT1	ALanine Transaminase
SGD:S000001864	AGX1	Alanine:Glyoxylate aminotrans(X)ferase
SGD:S000005862	ALA1	ALAnyl-tRNA synthetase
SGD:S000005446	ADH1	Alcohol DeHydrogenase
SGD:S000003125	ARI1	Aldehyde Reductase Intermediate, subclass of SDR
SGD:S000004780	ALD2	ALdehyde Dehydrogenase
SGD:S000004099	AHP1	Alkyl HydroPeroxide reductase
SGD:S000000018	ATS1	Alpha Tubulin Suppressor
SGD:S000005092	ALF1	ALpha tubulin Folding
