ZFIN:ZDB-GENE-990706-1	20kx18	20kx18
ZFIN:ZDB-GENE-210324-7	3m76	3m76
ZFIN:ZDB-GENE-030131-6124	42sp43	P43 RNA-binding protein
ZFIN:ZDB-GENE-210324-8	4m99	4m99
ZFIN:ZDB-GENE-060824-3	a1cf	apobec1 complementation factor
ZFIN:ZDB-GENE-090212-1	a2ml	alpha-2-macroglobulin-like
ZFIN:ZDB-GENE-030912-4	aaas	achalasia, adrenocortical insufficiency, alacrimia
ZFIN:ZDB-GENE-040426-903	aacs	acetoacetyl-CoA synthetase
ZFIN:ZDB-GENE-130530-713	aadac	arylacetamide deacetylase
ZFIN:ZDB-GENE-111229-1	aadat	aminoadipate aminotransferase
ZFIN:ZDB-GENE-040718-120	aagab	alpha and gamma adaptin binding protein
ZFIN:ZDB-GENE-081105-101	aak1a	AP2 associated kinase
ZFIN:ZDB-GENE-050522-64	aamdc	adipogenesis associated, Mth938 domain containing
ZFIN:ZDB-GENE-040426-2370	aamp	angio-associated, migratory cell protein
ZFIN:ZDB-GENE-040329-1	aanat1	arylalkylamine N-acetyltransferase
ZFIN:ZDB-GENE-040704-68	aar2	AAR2 splicing factor
ZFIN:ZDB-GENE-030131-3663	aars1	alanyl-tRNA synthetase
ZFIN:ZDB-GENE-041210-322	aasdh	aminoadipate-semialdehyde dehydrogenase
ZFIN:ZDB-GENE-030131-9654	aatf	apoptosis antagonizing transcription factor
ZFIN:ZDB-GENE-100812-4	aatka	apoptosis-associated tyrosine kinase a
ZFIN:ZDB-GENE-031006-4	abat	4-aminobutyrate aminotransferase
ZFIN:ZDB-GENE-030131-9790	abca12	ATP-binding cassette, sub-family A (ABC1), member
ZFIN:ZDB-GENE-070117-775	abf	about face
ZFIN:ZDB-GENE-060526-144	abhd10a	abhydrolase domain containing depalmitoylase a
ZFIN:ZDB-GENE-040426-1701	abi1a	abl-interactor
ZFIN:ZDB-GENE-060929-958	abi3a	ABI family, member
ZFIN:ZDB-GENE-060503-602	abitram	actin binding transcription modulator
ZFIN:ZDB-GENE-100812-9	abl1	c-abl oncogene non-receptor tyrosine kinase
ZFIN:ZDB-GENE-070705-146	abr	ABR activator of RhoGEF and GTPase
ZFIN:ZDB-GENE-030131-8594	abracl	ABRA C-terminal like
ZFIN:ZDB-GENE-041010-70	abraxas1	abraxas BRCA1 A complex subunit
ZFIN:ZDB-GENE-050522-127	abt1	activator of basal transcription
ZFIN:ZDB-GENE-141212-241	abtb1	ankyrin repeat and BTB (POZ) domain containing
ZFIN:ZDB-GENE-040704-48	acaa1	acetyl-CoA acyltransferase
ZFIN:ZDB-GENE-040426-814	acad11	acyl-CoA dehydrogenase family, member
ZFIN:ZDB-GENE-050208-221	acana	aggrecan a
ZFIN:ZDB-GENE-070112-1242	acap1	ArfGAP with coiled-coil, ankyrin repeat and PH domains
ZFIN:ZDB-GENE-040426-1930	acbd3	acyl-Coenzyme A binding domain containing
ZFIN:ZDB-GENE-050327-39	accs	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
ZFIN:ZDB-GENE-081022-45	acd	ACD shelterin complex subunit and telomerase recruitment factor
ZFIN:ZDB-GENE-030131-1826	ace	angiotensin I converting enzyme (peptidyl-dipeptidase A)
ZFIN:ZDB-GENE-050417-70	acer1	alkaline ceramidase
ZFIN:ZDB-GENE-010906-1	ache	acetylcholinesterase
ZFIN:ZDB-GENE-030616-583	acin1a	apoptotic chromatin condensation inducer
ZFIN:ZDB-GENE-070117-668	ack	acytokinesis
ZFIN:ZDB-GENE-070301-5	ackr3a	atypical chemokine receptor
ZFIN:ZDB-GENE-031113-1	aclya	ATP citrate lyase a
ZFIN:ZDB-GENE-070410-103	acmsd	aminocarboxymuconate semialdehyde decarboxylase
ZFIN:ZDB-GENE-031118-76	aco1	aconitase soluble
ZFIN:ZDB-GENE-081104-428	acod1	aconitate decarboxylase
ZFIN:ZDB-GENE-050327-12	acp1	acid phosphatase
ZFIN:ZDB-GENE-000329-1	actb1	actin, beta
ZFIN:ZDB-GENE-020419-36	actl6a	actin-like
ZFIN:ZDB-GENE-081113-4	actn1	actinin, alpha
ZFIN:ZDB-GENE-000329-9	actn3a	actinin alpha
ZFIN:ZDB-GENE-980526-230	acvbb	acvbb
ZFIN:ZDB-GENE-980526-527	acvr1ba	activin A receptor typea
ZFIN:ZDB-GENE-040426-755	acy1	aminoacylase
ZFIN:ZDB-GENE-040718-345	acy3.1	aspartoacylase (aminocyclase) tandem duplicate 1
ZFIN:ZDB-GENE-050309-125	acyp1	acylphosphatase erythrocyte (common) type
ZFIN:ZDB-GENE-040718-393	ada	adenosine deaminase
ZFIN:ZDB-GENE-040917-2	adam10a	ADAM metallopeptidase domain
ZFIN:ZDB-GENE-150720-2	adamts20	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin typemotif, 20
ZFIN:ZDB-GENE-070705-558	adamtsl2	ADAMTS-like
ZFIN:ZDB-GENE-161017-76	adamtsl5	ADAMTS like
ZFIN:ZDB-GENE-080401-5	adck1	aarF domain containing kinase
ZFIN:ZDB-GENE-070705-302	adcy1a	adenylate cyclase
ZFIN:ZDB-GENE-030909-2	add1	adducin(alpha)
ZFIN:ZDB-GENE-080718-4	add2	adducin(beta)
ZFIN:ZDB-GENE-030131-2721	add3a	adducin(gamma) a
ZFIN:ZDB-GENE-041001-205	adgb	androglobin
ZFIN:ZDB-GENE-130603-101	adgra1a	adhesion G protein-coupled receptor A1a
ZFIN:ZDB-GENE-011003-1	adh5	alcohol dehydrogenase
ZFIN:ZDB-GENE-030131-2799	adi1	acireductone dioxygenase
ZFIN:ZDB-GENE-080423-2	adipoqa	adiponectin, C1Q and collagen domain containing, a
ZFIN:ZDB-GENE-040718-169	adipor1a	adiponectin receptor
ZFIN:ZDB-GENE-141212-230	adissp	adipose secreted signaling protein
ZFIN:ZDB-GENE-041210-100	adm2a	adrenomedullin
ZFIN:ZDB-GENE-011214-1	admp	anti-dorsalizing morphogenic protein
ZFIN:ZDB-GENE-040914-55	adnp2a	ADNP homeobox
ZFIN:ZDB-GENE-061215-112	adnpa	activity-dependent neuroprotector homeobox a
ZFIN:ZDB-GENE-041212-62	adoa	2-aminoethanethiol (cysteamine) dioxygenase a
ZFIN:ZDB-GENE-061103-421	adpgk	ADP-dependent glucokinase
ZFIN:ZDB-GENE-040801-190	adprh	ADP-ribosylarginine hydrolase
ZFIN:ZDB-GENE-041010-126	adprhl1	ADP-ribosylhydrolase like
ZFIN:ZDB-GENE-040426-1406	adprm	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent
ZFIN:ZDB-GENE-040912-85	adprs	ADP-ribosylserine hydrolase
ZFIN:ZDB-GENE-070117-884	adr	andromeda
ZFIN:ZDB-GENE-030131-2831	adra1aa	adrenoceptor alphaa
ZFIN:ZDB-GENE-021010-4	adra2da	adrenergic, alpha-2D-, receptor a
ZFIN:ZDB-GENE-040426-905	adrm1	ADRM1 proteasome ubiquitin receptor
ZFIN:ZDB-GENE-030131-6363	adsl	adenylosuccinate lyase
ZFIN:ZDB-GENE-050417-220	adtrp1	androgen dependent TFPI regulating protein
ZFIN:ZDB-GENE-030131-2390	aebp1a	AE binding protein
ZFIN:ZDB-GENE-050306-5	aep1	aerolysin-like protein
ZFIN:ZDB-GENE-050419-52	afdna	afadin, adherens junction formation factor a
ZFIN:ZDB-GENE-110228-2	aff1	AF4/FMR2 family, member
ZFIN:ZDB-GENE-091006-2	afg1la	AFG1 like ATPase a
ZFIN:ZDB-GENE-111026-1	afg2a	AFG2 AAA ATPase homolog A
ZFIN:ZDB-GENE-121214-51	afg3l1	AFG3-like AAA ATPase
ZFIN:ZDB-GENE-050417-166	afmid	arylformamidase
ZFIN:ZDB-GENE-030131-5217	afp4	antifreeze protein type IV
ZFIN:ZDB-GENE-030131-1437	aftpha	aftiphilin a
ZFIN:ZDB-GENE-040426-2311	aga	aspartylglucosaminidase
ZFIN:ZDB-GENE-110207-1	agbl1	AGBL carboxypeptidase
ZFIN:ZDB-GENE-060929-836	aggf1	angiogenic factor with G patch and FHA domains
ZFIN:ZDB-GENE-030131-6202	agk	acylglycerol kinase
ZFIN:ZDB-GENE-071004-6	agla	amylo-alpha-1glucosidase, 4-alpha-glucanotransferase a
ZFIN:ZDB-GENE-060929-696	agmat	agmatine ureohydrolase (agmatinase)
ZFIN:ZDB-GENE-040426-2207	agmo	alkylglycerol monooxygenase
ZFIN:ZDB-GENE-110606-3	ago1	argonaute RISC component
ZFIN:ZDB-GENE-061103-541	agpat2	1-acylglycerol-3-phosphate O-acyltransferase(lysophosphatidic acid acyltransferase, beta)
ZFIN:ZDB-GENE-031118-14	agps	alkylglycerone phosphate synthase
ZFIN:ZDB-GENE-030131-7249	agr1	anterior gradient
ZFIN:ZDB-GENE-030131-1033	agrn	agrin
ZFIN:ZDB-GENE-040817-1	agrp	agouti related neuropeptide
ZFIN:ZDB-GENE-030131-1205	agt	angiotensinogen
ZFIN:ZDB-GENE-081104-267	agtpbp1	ATP/GTP binding carboxypeptidase
ZFIN:ZDB-GENE-050913-100	agxt2	alanine--glyoxylate aminotransferase
ZFIN:ZDB-GENE-070521-2	ahctf1	AT hook containing transcription factor
ZFIN:ZDB-GENE-031219-6	ahcy	adenosylhomocysteinase
ZFIN:ZDB-GENE-021206-7	ahcyl1	adenosylhomocysteinase-like
ZFIN:ZDB-GENE-060803-1	ahi1	Abelson helper integration site
ZFIN:ZDB-GENE-030131-8719	ahnak	AHNAK nucleoprotein
ZFIN:ZDB-GENE-020531-2	ahr1a	aryl hydrocarbon receptor
ZFIN:ZDB-GENE-051018-1	ahrra	aryl-hydrocarbon receptor repressor a
ZFIN:ZDB-GENE-030131-1869	ahsa1a	AHA1, activator of heat shock protein ATPase homolog
ZFIN:ZDB-GENE-041114-50	ahsg1	alpha-2-HS-glycoprotein
ZFIN:ZDB-GENE-041122-2	aicda	activation-induced cytidine deaminase
ZFIN:ZDB-GENE-071126-2	aida	axin interactor, dorsalization associated
ZFIN:ZDB-GENE-030131-9646	aif1l	allograft inflammatory factorlike
ZFIN:ZDB-GENE-041014-358	aig1	androgen-induced(H. sapiens)
ZFIN:ZDB-GENE-060825-144	aimp1a	aminoacyl tRNA synthetase complex interacting multifunctional protein
ZFIN:ZDB-GENE-071008-4	aire	autoimmune regulator
ZFIN:ZDB-GENE-041210-353	ajap1	adherens junctions associated protein
ZFIN:ZDB-GENE-130530-797	ajm1	apical junction componenthomolog
ZFIN:ZDB-GENE-030131-9341	ajuba	ajuba LIM protein
ZFIN:ZDB-GENE-030131-2535	akap10	A kinase (PRKA) anchor protein
ZFIN:ZDB-GENE-030131-6253	akap13	A-kinase anchoring protein
ZFIN:ZDB-GENE-040426-2178	akirin1	akirin
ZFIN:ZDB-GENE-091204-170	akna	AT-hook transcription factor
ZFIN:ZDB-GENE-070912-649	aknad1	AKNA domain containing
ZFIN:ZDB-GENE-040808-44	akr1a1a	aldo-keto reductase family member A1a (aldehyde reductase)
ZFIN:ZDB-GENE-130730-1	akt1	v-akt murine thymoma viral oncogene homolog
ZFIN:ZDB-GENE-030131-482	akt1s1	AKT1 substrate(proline-rich)
ZFIN:ZDB-GENE-030909-5	aktip	akt interacting protein
ZFIN:ZDB-GENE-050417-123	alad	aminolevulinate dehydratase
ZFIN:ZDB-GENE-001229-2	alas1	aminolevulinate, delta-, synthase
ZFIN:ZDB-GENE-990415-30	alcama	activated leukocyte cell adhesion molecule a
ZFIN:ZDB-GENE-070112-2062	aldh16a1	aldehyde dehydrogenasefamily, member A1
ZFIN:ZDB-GENE-030131-8369	aldoaa	aldolase a, fructose-bisphosphate, a
ZFIN:ZDB-GENE-030131-6093	alg1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
